Order_ID,City,Order_Date,Time_Ordered,Delivery_Time_Minutes,Delivery_Person_Age,Order_Value,review_text
ORD114835,New York,2023-10-17,22:11:00,27,54,45.67,Food was cold but driver was nice.
ORD889359,New York,2023-10-07,05:56:00,22,19,75.28,"Super fast, piping hot!"
ORD457256,New York,2023-10-22,20:43:00,31,23,57.07,Driver was polite and food was hot.
ORD819796,Chicago,2023-10-04,20:56:00,34,28,100.17,Food was cold but driver was nice.
,Miami,2023-10-15,07:53:00,30,57,98.03,Driver was polite and food was hot.
ORD498855,Houston,2023-10-11,18:31:00,49,38,105.32,"Terrible cold food, completely unacceptable."
ORD751194,Boston,2023-10-21,00:24:00,65,32,80.68,Very late and spilled.
ORD264686,Chicago,2023-10-13,13:04:00,44,54,22.88,"Average experience, nothing special."
ORD822858,San Francisco,2023-10-01,14:56:00,19,37,88.81,Amazing and speedy delivery!
,San Francisco,2023-10-22,03:56:00,23,59,76.93,Amazing and speedy delivery!
ORD671015,Boston,2023-10-10,12:05:00,31,28,22.5,Missing an item but otherwise fine.
ORD723948,Houston,2023-10-09,01:14:00,38,26,64.21,Missing an item but otherwise fine.
ORD385470,Miami,2023-10-15,08:09:00,12,21,108.39,Amazing and speedy delivery!
ORD127121,Chicago,2023-10-16,04:04:00,29,55,76.65,Food was cold but driver was nice.
ORD804938,Houston,2023-10-02,10:40:00,38,52,83.41,"Average experience, nothing special."
ORD713762,Seattle,2023-10-14,03:50:00,12,50,116.75,"Super fast, piping hot!"
ORD449499,San Francisco,2023-10-22,21:23:00,26,45,87.84,"Average experience, nothing special."
ORD519904,Houston,2023-10-14,14:49:00,36,24,48.02,Food was cold but driver was nice.
,Seattle,2023-10-16,05:07:00,34,53,63.51,Food was cold but driver was nice.
ORD479353,Boston,2023-10-03,23:13:00,10,50,80.67,Driver was polite and food was hot.
ORD675898,New York,2023-10-03,20:23:00,38,20,117.18,Driver was polite and food was hot.
ORD844261,San Francisco,2023-10-29,05:04:00,39,54,16.44,"Average experience, nothing special."
,New York,2023-10-20,01:39:00,63,60,102.38,"Terrible cold food, completely unacceptable."
ORD406039,Houston,2023-10-24,04:22:00,28,49,117.93,Missing an item but otherwise fine.
ORD251668,Seattle,2023-10-12,14:14:00,10,27,105.72,Driver was polite and food was hot.
ORD995916,San Francisco,2023-10-14,01:45:00,52,51,43.05,"Terrible cold food, completely unacceptable."
ORD413058,Boston,2023-10-01,14:49:00,40,28,61.89,Driver was polite and food was hot.
ORD678727,Houston,2023-10-23,13:02:00,13,48,112.95,Driver was polite and food was hot.
ORD350405,New York,2023-10-10,02:04:00,20,39,93.19,"Super fast, piping hot!"
ORD795928,Houston,2023-10-18,20:25:00,25,21,28.26,"Average experience, nothing special."
ORD205239,New York,2023-10-28,08:39:00,41,28,58.05,Driver was polite and food was hot.
ORD178463,Boston,2023-10-31,07:12:00,18,35,50.55,"Super fast, piping hot!"
ORD993140,Houston,2023-10-19,14:10:00,19,39,80.81,Driver was polite and food was hot.
ORD137642,New York,2023-10-23,16:59:00,49,34,81.27,Restaurant ignored my instructions.
ORD883041,Seattle,2023-10-14,13:54:00,65,25,61.59,Restaurant ignored my instructions.
ORD148225,Boston,2023-10-15,03:06:00,52,22,45.8,"Terrible cold food, completely unacceptable."
ORD356059,Chicago,2023-10-18,13:26:00,10,30,23.29,Amazing and speedy delivery!
ORD352528,Miami,2023-10-18,21:51:00,26,28,39.38,Driver was polite and food was hot.
ORD367729,San Francisco,2023-10-30,12:46:00,13,53,31.59,"Super fast, piping hot!"
ORD716113,Seattle,2023-10-21,14:30:00,10,46,87.48,"Super fast, piping hot!"
ORD308894,Chicago,2023-10-22,07:00:00,59,43,75.05,Very late and spilled.
ORD833247,New York,2023-10-27,15:51:00,29,44,43.82,Missing an item but otherwise fine.
ORD916118,Boston,2023-10-27,06:09:00,29,37,96.45,Driver was polite and food was hot.
ORD469435,Seattle,2023-10-11,23:22:00,25,31,80.19,"Average experience, nothing special."
ORD757937,New York,2023-10-07,17:24:00,22,56,53.31,"Super fast, piping hot!"
,San Francisco,2023-10-07,11:33:00,19,45,33.44,"Super fast, piping hot!"
ORD483629,San Francisco,2023-10-07,12:22:00,10,49,116.58,Amazing and speedy delivery!
ORD455168,Houston,2023-10-14,22:23:00,23,23,29.78,Amazing and speedy delivery!
ORD859396,San Francisco,2023-10-11,18:26:00,23,24,98.02,Driver was polite and food was hot.
ORD229592,San Francisco,2023-10-02,03:13:00,16,35,76.38,"Super fast, piping hot!"
ORD213609,Miami,2023-10-30,13:28:00,22,39,111.1,Driver was polite and food was hot.
ORD766269,Seattle,2023-10-11,13:48:00,14,38,83.17,"Super fast, piping hot!"
,New York,2023-10-06,19:27:00,42,25,39.65,Driver was polite and food was hot.
,San Francisco,2023-10-25,23:09:00,25,53,59.01,Driver was polite and food was hot.
ORD786735,San Francisco,2023-10-08,12:47:00,44,21,87.48,Driver was polite and food was hot.
ORD347582,New York,2023-10-11,09:19:00,40,42,72.17,Missing an item but otherwise fine.
ORD517479,New York,2023-10-30,20:20:00,23,32,82.38,"Super fast, piping hot!"
ORD153035,Chicago,2023-10-28,16:15:00,68,27,97.63,"Terrible cold food, completely unacceptable."
,Boston,2023-10-10,20:09:00,30,33,49.5,"Average experience, nothing special."
ORD724932,San Francisco,2023-10-08,05:11:00,19,28,118.69,Amazing and speedy delivery!
ORD282973,New York,2023-10-26,02:04:00,53,41,97.95,Very late and spilled.
ORD116547,San Francisco,2023-10-12,07:54:00,49,22,28.31,Very late and spilled.
ORD881886,Miami,2023-10-20,15:49:00,45,56,26.45,Missing an item but otherwise fine.
ORD744986,Seattle,2023-10-24,10:20:00,36,52,46.67,Food was cold but driver was nice.
ORD163780,Seattle,2023-10-30,18:42:00,59,25,66.48,"Terrible cold food, completely unacceptable."
,San Francisco,2023-10-21,16:30:00,29,57,30.58,Food was cold but driver was nice.
ORD763829,Miami,2023-10-07,05:51:00,10,52,45.96,"Super fast, piping hot!"
ORD203996,New York,2023-10-24,12:12:00,17,60,83.35,Driver was polite and food was hot.
ORD325468,San Francisco,2023-10-26,14:13:00,10,48,56.87,"Super fast, piping hot!"
ORD427704,San Francisco,2023-10-05,19:52:00,43,28,87.12,Missing an item but otherwise fine.
,Seattle,2023-10-23,02:02:00,33,42,100.24,Food was cold but driver was nice.
,Miami,2023-10-26,19:43:00,24,40,85.35,Driver was polite and food was hot.
ORD797660,San Francisco,2023-10-20,04:43:00,44,57,47.81,Food was cold but driver was nice.
ORD323072,Seattle,2023-10-06,05:10:00,24,49,38.55,Amazing and speedy delivery!
ORD683286,Chicago,2023-10-06,10:13:00,12,46,103.74,Driver was polite and food was hot.
ORD773918,New York,2023-10-29,19:06:00,48,57,112.55,Restaurant ignored my instructions.
,San Francisco,2023-10-13,16:08:00,26,19,34.05,Missing an item but otherwise fine.
ORD520252,Chicago,2023-10-08,00:29:00,55,59,117.04,Very late and spilled.
ORD325583,San Francisco,2023-10-05,16:14:00,18,38,90.77,Amazing and speedy delivery!
ORD155164,Chicago,2023-10-27,07:58:00,41,58,20.23,"Average experience, nothing special."
ORD794093,San Francisco,2023-10-05,05:07:00,11,32,94.27,"Super fast, piping hot!"
ORD216276,Seattle,2023-10-06,16:20:00,39,56,66.1,Missing an item but otherwise fine.
,Chicago,2023-10-15,12:53:00,13,38,114.26,Amazing and speedy delivery!
ORD403507,New York,2023-10-07,17:54:00,42,19,67.23,Missing an item but otherwise fine.
ORD498676,Boston,2023-10-21,02:24:00,19,41,22.57,Driver was polite and food was hot.
ORD582087,Boston,2023-10-03,10:13:00,27,39,75.45,Food was cold but driver was nice.
ORD771237,San Francisco,2023-10-27,14:19:00,23,29,99.14,Amazing and speedy delivery!
ORD823108,New York,2023-10-29,15:10:00,33,46,103.67,Missing an item but otherwise fine.
ORD519902,Seattle,2023-10-12,13:46:00,15,40,38.27,"Super fast, piping hot!"
,Miami,2023-10-09,03:39:00,27,51,35.36,Food was cold but driver was nice.
ORD958729,Chicago,2023-10-17,09:37:00,24,35,35.71,Amazing and speedy delivery!
ORD896028,New York,2023-10-28,21:59:00,23,30,114.89,Driver was polite and food was hot.
ORD891093,Miami,2023-10-30,01:54:00,11,60,81.71,Driver was polite and food was hot.
ORD757685,Chicago,2023-10-29,22:09:00,22,47,22.17,"Super fast, piping hot!"
ORD935012,San Francisco,2023-10-21,15:01:00,29,48,62.45,Food was cold but driver was nice.
ORD401022,Seattle,2023-10-04,02:09:00,35,24,79.58,Food was cold but driver was nice.
ORD708519,Houston,2023-10-24,13:52:00,10,55,83.44,Amazing and speedy delivery!
ORD625721,New York,2023-10-16,03:12:00,21,47,25.87,Amazing and speedy delivery!
ORD188425,Seattle,2023-10-17,03:08:00,20,47,119.05,Amazing and speedy delivery!
ORD266457,San Francisco,2023-10-25,08:26:00,29,37,55.68,Missing an item but otherwise fine.
ORD154909,San Francisco,2023-10-16,21:36:00,35,25,73.59,Food was cold but driver was nice.
ORD858889,Miami,2023-10-19,02:14:00,10,28,50.0,Driver was polite and food was hot.
ORD466813,Houston,2023-10-28,00:31:00,21,27,77.48,Driver was polite and food was hot.
ORD494976,Boston,2023-10-05,08:33:00,50,40,100.38,Restaurant ignored my instructions.
,San Francisco,2023-10-25,10:58:00,21,38,33.93,Amazing and speedy delivery!
ORD903373,Chicago,2023-10-11,05:58:00,14,33,120.0,"Super fast, piping hot!"
,Seattle,2023-10-08,13:15:00,33,40,107.02,Food was cold but driver was nice.
,Chicago,2023-10-29,15:04:00,24,29,33.99,"Super fast, piping hot!"
ORD273580,Seattle,2023-10-29,22:23:00,29,34,116.81,Missing an item but otherwise fine.
ORD884897,Chicago,2023-10-29,06:56:00,25,53,40.11,Driver was polite and food was hot.
ORD303440,Houston,2023-10-22,20:18:00,10,37,96.7,"Super fast, piping hot!"
ORD269930,Boston,2023-10-24,09:19:00,56,57,29.53,Very late and spilled.
,Seattle,2023-10-12,21:05:00,15,52,104.37,Amazing and speedy delivery!
,San Francisco,2023-10-14,11:22:00,31,47,110.06,"Average experience, nothing special."
ORD196168,San Francisco,2023-10-08,04:57:00,40,20,58.56,Driver was polite and food was hot.
ORD347231,New York,2023-10-19,13:03:00,26,42,38.58,Driver was polite and food was hot.
ORD979940,Chicago,2023-10-16,00:06:00,27,21,45.12,"Average experience, nothing special."
ORD245534,Houston,2023-10-23,00:03:00,16,47,79.61,Driver was polite and food was hot.
,New York,2023-10-05,02:33:00,31,37,39.95,Driver was polite and food was hot.
,Seattle,2023-10-07,01:06:00,38,58,63.0,Driver was polite and food was hot.
ORD624108,Seattle,2023-10-06,13:06:00,27,28,45.58,"Average experience, nothing special."
ORD352249,Chicago,2023-10-01,13:43:00,28,24,69.97,Driver was polite and food was hot.
,Miami,2023-10-17,21:53:00,12,20,56.0,Driver was polite and food was hot.
,San Francisco,2023-10-22,21:31:00,27,35,93.47,Driver was polite and food was hot.
ORD461551,Boston,2023-10-17,18:03:00,31,56,92.19,Food was cold but driver was nice.
,Miami,2023-10-16,15:12:00,51,40,100.42,"Terrible cold food, completely unacceptable."
ORD817941,Chicago,2023-10-09,11:15:00,10,27,21.63,Driver was polite and food was hot.
,New York,2023-10-22,07:55:00,35,31,108.01,"Average experience, nothing special."
ORD640418,San Francisco,2023-10-15,20:43:00,10,21,94.1,"Super fast, piping hot!"
ORD918771,Boston,2023-10-10,04:45:00,46,60,49.85,Very late and spilled.
ORD558176,San Francisco,2023-10-07,03:58:00,49,30,67.1,"Terrible cold food, completely unacceptable."
ORD936020,San Francisco,2023-10-24,03:26:00,14,24,91.34,Driver was polite and food was hot.
ORD962287,New York,2023-10-05,02:13:00,35,39,84.4,Food was cold but driver was nice.
ORD852524,Chicago,2023-10-15,10:47:00,41,47,51.91,Driver was polite and food was hot.
ORD469685,Boston,2023-10-03,10:16:00,17,22,22.88,Driver was polite and food was hot.
ORD638009,Seattle,2023-10-30,12:21:00,19,29,115.04,Driver was polite and food was hot.
ORD811027,Chicago,2023-10-07,23:58:00,30,60,53.46,Food was cold but driver was nice.
ORD133958,Seattle,2023-10-18,22:11:00,26,47,114.63,"Average experience, nothing special."
ORD180620,San Francisco,2023-10-18,10:21:00,13,60,44.26,"Super fast, piping hot!"
,Houston,2023-10-06,15:55:00,21,52,55.63,Amazing and speedy delivery!
,Miami,2023-10-27,01:30:00,33,37,87.87,"Average experience, nothing special."
ORD242321,Houston,2023-10-23,20:32:00,10,30,109.36,Amazing and speedy delivery!
ORD949884,Seattle,2023-10-21,18:11:00,17,41,89.5,"Super fast, piping hot!"
ORD414527,Seattle,2023-10-26,12:45:00,10,59,33.28,Amazing and speedy delivery!
ORD227257,Boston,2023-10-17,22:51:00,56,50,17.76,Very late and spilled.
ORD590110,Miami,2023-10-26,17:09:00,27,24,21.9,"Average experience, nothing special."
ORD853789,Boston,2023-10-19,14:54:00,14,55,22.74,"Super fast, piping hot!"
ORD571832,Seattle,2023-10-15,22:17:00,32,52,51.17,Driver was polite and food was hot.
ORD290802,Boston,2023-10-26,14:11:00,30,26,69.4,Food was cold but driver was nice.
ORD438334,Chicago,2023-10-15,08:12:00,22,41,114.49,Driver was polite and food was hot.
ORD987025,Chicago,2023-10-25,02:47:00,38,59,46.8,Missing an item but otherwise fine.
,Miami,2023-10-25,18:43:00,34,56,31.19,"Average experience, nothing special."
ORD734534,Boston,2023-10-31,11:31:00,12,20,23.53,Amazing and speedy delivery!
ORD377511,Chicago,2023-10-30,16:39:00,59,55,58.74,Restaurant ignored my instructions.
,Houston,2023-10-30,13:57:00,44,34,99.49,Missing an item but otherwise fine.
ORD176517,New York,2023-10-19,23:34:00,17,29,61.16,Driver was polite and food was hot.
ORD456717,San Francisco,2023-10-23,12:56:00,19,41,117.41,Driver was polite and food was hot.
ORD639995,New York,2023-10-07,10:50:00,21,39,40.38,Driver was polite and food was hot.
ORD359961,Boston,2023-10-07,01:50:00,33,58,58.9,Driver was polite and food was hot.
ORD705748,Chicago,2023-10-08,18:27:00,33,29,67.32,Missing an item but otherwise fine.
ORD423528,Miami,2023-10-24,22:14:00,23,48,116.5,"Super fast, piping hot!"
ORD151021,San Francisco,2023-10-11,07:00:00,30,50,77.74,Food was cold but driver was nice.
ORD399628,Chicago,2023-10-31,06:38:00,10,35,91.39,"Super fast, piping hot!"
ORD520040,Miami,2023-10-19,20:28:00,23,54,35.44,Amazing and speedy delivery!
ORD505116,Boston,2023-10-26,16:17:00,10,58,86.44,"Super fast, piping hot!"
,Houston,2023-10-06,21:47:00,29,42,98.46,Food was cold but driver was nice.
ORD483366,Miami,2023-10-16,22:23:00,30,21,19.76,Driver was polite and food was hot.
ORD943019,Miami,2023-10-07,17:41:00,20,48,30.64,"Super fast, piping hot!"
,Miami,2023-10-24,23:05:00,41,38,77.34,Driver was polite and food was hot.
ORD658198,Seattle,2023-10-24,14:08:00,24,55,46.48,"Super fast, piping hot!"
ORD806537,Boston,2023-10-02,06:11:00,42,59,17.8,Missing an item but otherwise fine.
ORD787436,Seattle,2023-10-23,02:23:00,39,22,76.27,"Average experience, nothing special."
ORD856215,Boston,2023-10-09,06:15:00,10,34,18.31,Amazing and speedy delivery!
ORD562462,Houston,2023-10-06,12:03:00,10,28,58.36,"Super fast, piping hot!"
ORD912617,Seattle,2023-10-10,18:43:00,17,22,89.11,Driver was polite and food was hot.
ORD440839,Houston,2023-10-25,02:33:00,19,52,54.57,Driver was polite and food was hot.
ORD659024,Seattle,2023-10-09,09:10:00,22,60,99.38,Driver was polite and food was hot.
ORD301603,San Francisco,2023-10-13,12:46:00,41,54,46.34,"Average experience, nothing special."
ORD839142,Houston,2023-10-15,01:05:00,36,41,73.85,Missing an item but otherwise fine.
ORD701334,Miami,2023-10-13,22:42:00,52,43,109.05,Restaurant ignored my instructions.
ORD910616,Seattle,2023-10-19,10:57:00,34,24,51.37,Missing an item but otherwise fine.
ORD883641,Chicago,2023-10-21,15:12:00,18,31,101.93,"Super fast, piping hot!"
ORD829988,Chicago,2023-10-13,20:09:00,29,22,85.33,"Average experience, nothing special."
ORD344146,New York,2023-10-25,16:03:00,37,45,49.68,Food was cold but driver was nice.
,Houston,2023-10-23,00:00:00,30,60,113.18,"Average experience, nothing special."
ORD309144,San Francisco,2023-10-23,03:36:00,28,37,82.82,Missing an item but otherwise fine.
ORD343500,Chicago,2023-10-05,13:43:00,10,45,107.64,Amazing and speedy delivery!
ORD138105,Boston,2023-10-09,12:01:00,24,50,34.56,"Super fast, piping hot!"
ORD109717,San Francisco,2023-10-14,16:11:00,23,48,118.86,"Super fast, piping hot!"
ORD240718,Houston,2023-10-26,05:26:00,49,36,35.25,Restaurant ignored my instructions.
ORD866634,New York,2023-10-06,15:03:00,18,40,98.03,Amazing and speedy delivery!
ORD302544,Miami,2023-10-27,08:11:00,32,59,109.19,"Average experience, nothing special."
ORD190951,Houston,2023-10-20,23:10:00,24,39,113.26,Amazing and speedy delivery!
ORD346961,Boston,2023-10-01,19:28:00,33,36,115.17,Driver was polite and food was hot.
ORD700705,Chicago,2023-10-15,05:49:00,51,22,85.12,Restaurant ignored my instructions.
ORD525110,Seattle,2023-10-22,16:21:00,31,26,82.06,Missing an item but otherwise fine.
ORD331577,Houston,2023-10-14,22:16:00,31,57,54.23,"Average experience, nothing special."
ORD894139,Boston,2023-10-26,11:55:00,37,34,86.44,"Average experience, nothing special."
ORD185847,New York,2023-10-28,14:48:00,11,55,26.78,"Super fast, piping hot!"
ORD311976,Chicago,2023-10-26,10:11:00,27,39,104.72,"Average experience, nothing special."
,Miami,2023-10-21,14:37:00,35,47,99.91,Food was cold but driver was nice.
,Houston,2023-10-22,03:17:00,49,55,21.06,"Terrible cold food, completely unacceptable."
ORD423139,Seattle,2023-10-22,13:03:00,27,32,75.72,Food was cold but driver was nice.
ORD834406,Miami,2023-10-03,13:29:00,15,22,113.13,Amazing and speedy delivery!
ORD595002,Boston,2023-10-04,15:24:00,45,60,117.72,"Average experience, nothing special."
ORD492650,Houston,2023-10-30,21:29:00,33,43,54.44,Driver was polite and food was hot.
,Miami,2023-10-26,01:04:00,34,27,91.43,Driver was polite and food was hot.
ORD892911,San Francisco,2023-10-11,15:15:00,24,48,85.72,Amazing and speedy delivery!
ORD497700,Chicago,2023-10-26,06:41:00,35,36,34.79,Missing an item but otherwise fine.
,Houston,2023-10-06,15:16:00,19,58,95.44,Driver was polite and food was hot.
ORD170559,Chicago,2023-10-02,05:06:00,33,21,57.24,Food was cold but driver was nice.
ORD891030,Chicago,2023-10-12,03:58:00,32,51,119.32,Food was cold but driver was nice.
ORD867051,Boston,2023-10-12,03:47:00,12,39,39.87,Driver was polite and food was hot.
ORD646571,Houston,2023-10-08,00:29:00,20,38,43.89,Amazing and speedy delivery!
ORD870925,Miami,2023-10-26,20:06:00,47,50,19.92,"Terrible cold food, completely unacceptable."
ORD803953,Boston,2023-10-17,04:12:00,18,52,48.47,"Super fast, piping hot!"
ORD414455,Chicago,2023-10-20,10:45:00,12,33,46.58,"Super fast, piping hot!"
ORD160423,Houston,2023-10-08,01:41:00,47,45,73.52,Restaurant ignored my instructions.
ORD367382,Boston,2023-10-07,14:28:00,36,42,24.71,Driver was polite and food was hot.
,Seattle,2023-10-10,04:04:00,50,57,78.31,"Terrible cold food, completely unacceptable."
